Status,Furnished_status,neworold,type_of_building,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,price
,Unfurnished,Resale,Individual House,1100,28.432194,77.508042,2,2,,,,4500000
Ready to Move,,Resale,Flat,850,28.645341,77.35492932,2,2,,,,4200000
Ready to Move,,Resale,Individual House,850,28.645341,77.35492932,2,2,,,,4200000
Ready to Move,Furnished,Resale,Flat,560,28.62888145,77.27719116,2,2,1,,,3200000
Ready to Move,Furnished,New Property,Flat,1350,28.70417404,77.18385315,3,3,2,,,12500000
Ready to Move,Semi-Furnished,New Property,Flat,1728,28.41750145,77.06694031,3,3,2,,,13000000
Ready to Move,Semi-Furnished,Resale,Flat,1950,28.4958944,77.1859976,4,3,3,2,,13500000
Ready to Move,,Resale,Individual House,1345,28.45149078,76.98910785,2,2,,,,7400000
Ready to Move,Semi-Furnished,Resale,Flat,900,28.60568237,77.29428101,3,3,,,,8500000
Ready to Move,,Resale,Flat,1398,28.54341218,77.367853,2,2,2,1,2,7500000
Ready to Move,,Resale,Flat,1156,28.647589,77.33641338,3,2,,1,2,5500000
Ready to Move,,New Property,Flat,1250,28.7781843,77.26611826,3,2,3,,,6200000
Ready to Move,Unfurnished,Resale,Flat,1730,28.50289726,77.5262146,3,3,,,,6000000
Ready to Move,Semi-Furnished,Resale,Individual House,1300,28.6377651,77.075969,3,2,1,2,0,11800000
Ready to Move,Semi-Furnished,Resale,Flat,950,28.49749184,77.0271225,2,2,1,1,,4700000
Ready to Move,,Resale,Flat,2095,28.41063434,77.28620611,4,3,2,,,8500000
Ready to Move,Furnished,Resale,Flat,1600,28.4244375,77.098212,3,2,,,,12000000
Ready to Move,Semi-Furnished,Resale,Flat,1800,28.423049,77.08741,3,3,2,2,1,12100000
Ready to Move,Semi-Furnished,Resale,Individual House,765,28.6212874,77.0530735,2,2,1,1,,2500000
,,Resale,Flat,950,28.6464362,77.4743766,2,2,,,,3000000
Ready to Move,Unfurnished,Resale,Flat,2000,28.5081375,77.008965,3,3,,,,11500000
Ready to Move,Semi-Furnished,Resale,Flat,1687,28.4458151,77.3130226,3,2,,,,9500000
Ready to Move,,New Property,Flat,1317,28.58840773,77.39819856,2,2,3,1,3,5900000
Ready to Move,,New Property,Flat,1387,28.37047136,77.37035928,2,2,4,,,3800000
Ready to Move,Semi-Furnished,Resale,Flat,1365,28.577868,77.48322,3,2,,,,6200000
Ready to Move,,Resale,Flat,1600,28.52810434,77.38901,3,3,6,,,8500000
Ready to Move,Semi-Furnished,Resale,Flat,1200,28.6696559,77.316789,3,3,2,,,6500000
Ready to Move,Semi-Furnished,Resale,Flat,800,28.5180565,77.1663715,2,2,,,,3500000
Ready to Move,,Resale,Flat,1225,28.62407017,77.37175607,3,2,1,,,7500000
Ready to Move,Semi-Furnished,Resale,Individual House,1224,28.60595894,77.44451141,2,2,,,,4500000
Ready to Move,,Resale,Individual House,2587,28.42343946,77.06910666,3,3,,,,18000000
Ready to Move,Unfurnished,Resale,Flat,840,28.638572,77.4308515,2,2,2,2,,3200000
Ready to Move,Unfurnished,Resale,Individual House,1033,28.6336095,77.4713825,2,2,,,,3500000
,Unfurnished,New Property,Flat,1765,28.44585574,76.99100125,3,3,3,1,,9710000
Ready to Move,,New Property,Individual House,1245,28.644056,77.393639,3,2,4,,,4700000
Ready to Move,Furnished,Resale,Flat,1400,28.466682,76.9997245,3,3,,,,11500000
Ready to Move,,Resale,Flat,1739,28.58632879,77.40106202,3,3,4,,2,8200000
Ready to Move,,Resale,Flat,1875,28.4751606,77.55141449,3,3,3,,,5500000
Ready to Move,,Resale,Flat,1740,28.63851333,77.06888106,3,3,2,1,2,17500000
Ready to Move,Unfurnished,Resale,Flat,1985,28.57786751,77.48322296,4,4,4,2,,7540000
Ready to Move,,New Property,Flat,1000,28.41583071,76.914496,2,2,3,,,4600000
Ready to Move,Semi-Furnished,Resale,Individual House,2200,28.65955734,77.37476349,4,3,1,,,12000000
Ready to Move,Semi-Furnished,Resale,Flat,1600,28.6420559,77.323499,3,3,2,2,,9600000
Ready to Move,,Resale,Flat,1766,28.400922,77.51969,3,4,4,,,8500000
Ready to Move,,Resale,Individual House,1680,28.623722,77.435989,3,3,5,,,5000000
Ready to Move,Furnished,Resale,Flat,900,28.63620758,77.4336319,3,2,2,,,4000000
Ready to Move,Semi-Furnished,Resale,Flat,1658,28.60997772,77.21167755,3,4,2,2,1,17500000
Ready to Move,,Resale,Flat,2535,28.52109161,77.38292281,4,4,,,,14000000
Ready to Move,,Resale,Individual House,1573,28.5039268,77.383808,3,3,1,1,3,6500000
Ready to Move,Semi-Furnished,Resale,Flat,940,28.49235916,77.28948975,3,2,1,,,4600000
Ready to Move,,Resale,Flat,1316,28.504219,77.425971,2,3,4,1,2,5700000
Ready to Move,Semi-Furnished,New Property,Flat,1710,28.43975067,77.29987335,3,2,3,,,7500000
Ready to Move,,Resale,Flat,1450,28.57751279,77.04253534,2,2,3,,,12200000
Ready to Move,,New Property,Flat,1000,28.64245116,77.06847649,2,2,1,,,9000000
Ready to Move,,Resale,Flat,1135,28.66288,77.47096,2,2,2,1,3,4400000
Ready to Move,Unfurnished,Resale,Flat,900,28.6171627,77.07132721,2,2,1,,,5100000
Ready to Move,Semi-Furnished,Resale,Flat,1031,28.641779,77.3502969,2,2,1,,,3800000
Ready to Move,,Resale,Flat,1200,28.51349498,77.03657993,2,2,,,,8550000
Ready to Move,,Resale,Individual House,1090,28.678905,77.48529753,2,2,,,,4000000
Ready to Move,,Resale,Individual House,1465,28.49629327,77.40851995,3,3,,,,5880000
Ready to Move,,Resale,Individual House,1100,28.61970138,77.11162213,3,2,,,,10500000
Ready to Move,,Resale,Flat,1550,28.728555,77.337353,3,3,5,1,2,4800000
Ready to Move,Unfurnished,Resale,Flat,1750,28.58960724,77.33644104,4,4,2,161,0,11500000
Ready to Move,,Resale,Flat,1800,28.432113,77.1041751,3,3,4,,,15500000
Ready to Move,Furnished,Resale,Flat,2225,28.63464737,77.04912567,4,3,1,6,1,24900000
Ready to Move,Furnished,Resale,Flat,1650,28.6495115,77.3474545,3,2,,,,10100000
Ready to Move,,Resale,Flat,990,28.432194,77.508042,2,2,2,,,3500000
Ready to Move,,Resale,Flat,1315,28.56541475,77.383196,3,2,5,,,7000000
Ready to Move,Unfurnished,Resale,Flat,563,28.619316,77.033262,2,2,1,,,2500000
Ready to Move,,Resale,Flat,1100,28.73028639,77.150781,2,2,1,1,,8700000
Ready to Move,Semi-Furnished,Resale,Flat,1150,28.57837296,77.38729858,2,2,5,,,5700000
Ready to Move,,Resale,Individual House,1530,28.562096,77.45247174,3,2,3,1,3,6000000
Ready to Move,Semi-Furnished,Resale,Flat,2050,28.66318512,77.45219421,3,3,2,,,9500000
Ready to Move,,Resale,Flat,1050,28.341621,77.353443,2,2,,,,3800000
Ready to Move,Semi-Furnished,Resale,Individual House,975,28.702659,77.417298,2,2,,,,3300000
Ready to Move,Unfurnished,Resale,Flat,840,28.638572,77.4308515,2,2,2,1,,3000000
Ready to Move,,Resale,Flat,1235,28.66520769,77.37425367,2,2,2,,,6500000
Ready to Move,Semi-Furnished,Resale,Flat,650,28.3926115,77.3573515,2,2,,,,2500000
Ready to Move,,Resale,Individual House,880,28.658647,77.4757,2,2,2,,,3200000
Ready to Move,,Resale,Individual House,1106,28.6079894,77.4409944,2,2,3,,,3600000
,Semi-Furnished,Resale,Individual House,1165,28.605958,77.444512,2,2,,,,5000000
Ready to Move,,Resale,Individual House,1200,28.64606,77.07101956,3,2,,,,11000000
Ready to Move,,Resale,Individual House,1300,28.638007,77.346513,2,2,1,,,6000000
Ready to Move,Semi-Furnished,Resale,Flat,1395,28.5151375,77.495836,3,2,5,2,,5000000
Ready to Move,Semi-Furnished,Resale,Flat,1065,28.605958,77.444512,2,2,,,,4000000
Ready to Move,,Resale,Individual House,2300,28.657986,77.320947,4,4,4,2,,13000000
Ready to Move,Semi-Furnished,Resale,Individual House,1560,28.6493479,77.3696259,3,2,3,1,,9000000
Ready to Move,,New Property,Flat,1000,28.57943064,77.39871687,2,2,2,,,3500000
Ready to Move,Semi-Furnished,Resale,Individual House,1240,28.50289726,77.5262146,2,2,4,,,6200000
Ready to Move,Semi-Furnished,Resale,Flat,801,28.61469078,77.3330307,2,2,1,7,1,2300000
,Furnished,Resale,Flat,700,28.6212874,77.0530735,2,2,,1,,3600000
Ready to Move,Semi-Furnished,Resale,Flat,540,28.4868994,77.0154049,2,2,,,,3400000
Ready to Move,,New Property,Flat,984,28.433506,77.505908,2,2,3,,2,3350000
Ready to Move,Semi-Furnished,Resale,Flat,962,28.6452103,77.2863859,3,2,1,1,0,6800000
Ready to Move,,Resale,Flat,1150,28.64739445,77.381411,2,2,3,,,5400000
Ready to Move,Furnished,Resale,Flat,1400,28.6297895,77.4338883,2,2,,,,4600000
Ready to Move,Semi-Furnished,Resale,Individual House,2300,28.42155457,77.07806396,4,4,3,,,13900000
Ready to Move,Semi-Furnished,Resale,Flat,1040,28.394307,76.9700484,2,2,,,,6500000
Ready to Move,,Resale,Individual House,795,28.49629327,77.40851995,2,2,1,,,3600000
Ready to Move,Unfurnished,Resale,Flat,950,28.5623914,77.21314,2,2,1,,,8500000
,Semi-Furnished,Resale,Flat,1050,28.46906,77.02811,3,2,,,,5500000
Ready to Move,,Resale,Flat,2400,28.418443,77.0761745,4,5,2,,1,18000000
Ready to Move,Semi-Furnished,Resale,Flat,1150,28.4469189,77.517486,2,2,,,,4050000
Ready to Move,,New Property,Flat,1380,28.446568,76.968477,2,2,3,,,7000000
Ready to Move,Unfurnished,Resale,Flat,900,28.6895689,77.3386129,2,2,,,,2500000
Ready to Move,,Resale,Flat,980,28.47839,77.561036,2,2,2,512,1,4100000
Ready to Move,Furnished,Resale,Flat,1100,28.4528905,77.291966,3,2,,,,4200000
Ready to Move,,New Property,Individual House,1700,28.631927,77.437442,3,3,4,,,4800000
Ready to Move,Unfurnished,Resale,Flat,900,28.68964577,77.49333191,3,2,1,,,2800000
Ready to Move,Unfurnished,Resale,Flat,850,28.685969,77.3508975,2,2,2,,,2980000
Ready to Move,,Resale,Flat,1195,28.53116,77.388858,3,2,3,,,7000000
,Unfurnished,Resale,Individual House,1300,28.4073309,76.9365692,2,2,3,1,,5200000
Ready to Move,,Resale,Individual House,1075,28.71109749,77.41739441,2,2,3,1,5,3600000
Ready to Move,,Resale,Flat,970,28.646286,77.406051,2,2,,,,5000000
Ready to Move,Semi-Furnished,Resale,Flat,2020,28.4450106,76.9584411,2,2,,2,,12000000
Ready to Move,Unfurnished,Resale,Flat,632,28.6884882,77.32579271,2,2,,,,3800000
Ready to Move,Furnished,Resale,Flat,1350,28.6701035,77.4724725,3,2,3,,,5800000
Ready to Move,,Resale,Flat,1600,28.57722932,77.04143019,3,2,,,,16500000
Ready to Move,,Resale,Flat,2250,28.4287815,77.0661409,3,4,4,,,16000000
Ready to Move,,Resale,Flat,1910,28.420952,76.910875,3,3,3,,2,9000000
,Unfurnished,Resale,Flat,1595,28.609898,77.436343,3,3,,,,6500000
Ready to Move,Unfurnished,Resale,Individual House,1100,28.6493479,77.3696259,3,2,,,,5200000
Ready to Move,,Resale,Flat,959,28.493556,77.409658,2,2,2,,2,5000000
Ready to Move,Furnished,Resale,Flat,900,28.638572,77.4308515,2,2,2,,,3500000
Ready to Move,,Resale,Flat,2072,28.4318053,77.1095006,4,5,5,2,,20000000
Ready to Move,Semi-Furnished,Resale,Flat,1515,28.6341305,77.3338579,3,3,,,,8500000
Ready to Move,,Resale,Flat,1469,28.52544019,77.37445081,2,3,3,,,7000000
Ready to Move,Unfurnished,New Property,Individual House,1130,28.47225189,77.46923065,2,2,3,,,3800000
Ready to Move,Furnished,New Property,Flat,535,28.56884003,77.27896118,2,2,1,,,3000000
Ready to Move,Semi-Furnished,Resale,Flat,1300,28.3974945,77.0228155,2,2,3,1,,8500000
Ready to Move,,Resale,Flat,1045,28.432161,77.5061,2,2,2,1,2,4000000
Ready to Move,Furnished,New Property,Individual House,1015,28.57452202,77.22436523,3,2,1,,,8000000
Ready to Move,,Resale,Flat,670,28.710139,77.688028,2,2,2,,,1800000
Ready to Move,Unfurnished,Resale,Flat,1618,28.4017065,76.9198646,2,2,,,,7000000
Ready to Move,Unfurnished,Resale,Flat,2000,28.5348305,77.2097741,4,4,3,,,19000000
Ready to Move,Semi-Furnished,Resale,Individual House,1600,28.4111861,77.0497084,3,3,3,,,11700000
,Semi-Furnished,Resale,Flat,1575,28.498557,77.54265046,3,3,4,,,6000000
Ready to Move,,Resale,Flat,1208,28.59787316,77.36816213,3,3,,,,7500000
Ready to Move,Unfurnished,Resale,Flat,2100,28.42443657,77.0982132,3,3,4,,,15000000
Ready to Move,Semi-Furnished,New Property,Individual House,670,28.63777542,77.08486176,2,2,1,,,4700000
Ready to Move,,Resale,Flat,1005,28.474501,77.553187,2,2,1,,,3500000
Ready to Move,,Resale,Individual House,1175,28.64461787,77.328264,2,2,1,,,6500000
Ready to Move,Semi-Furnished,Resale,Flat,1050,28.5028971,77.526218,2,2,3,1,,4200000
Ready to Move,Semi-Furnished,Resale,Flat,750,28.3638276,76.9793108,2,2,,,,2800000
Ready to Move,,Resale,Flat,1370,28.57152332,77.39280778,2,2,4,,,7300000
Ready to Move,Semi-Furnished,Resale,Flat,1600,28.45419121,77.08380127,3,2,,,,16500000
Ready to Move,Semi-Furnished,New Property,Flat,1730,28.5461905,77.374932,3,4,4,1,,11500000
Ready to Move,,New Property,Flat,1050,28.610849,77.456875,2,2,3,1,2,3500000
Ready to Move,Unfurnished,Resale,Flat,1032,28.71004105,77.07226563,4,2,2,,,7500000
Ready to Move,,Resale,Flat,1040,28.419763,76.910919,2,2,3,450,2,4200000
Ready to Move,,Resale,Flat,2200,28.73501903,77.06364122,4,4,2,2,2,15800000
Ready to Move,,Resale,Flat,3016,28.41973457,77.07648897,4,4,4,,,25500000
Ready to Move,Semi-Furnished,New Property,Individual House,810,28.64858818,77.35334015,2,2,1,,,4300000
Ready to Move,Semi-Furnished,New Property,Flat,802,28.63306427,77.03317261,3,2,1,,,4500000
,Semi-Furnished,Resale,Flat,3400,28.5782795,77.3223643,7,8,,,,25000000
Ready to Move,Semi-Furnished,New Property,Individual House,900,28.6379509,77.10189819,2,2,2,,,6500000
Ready to Move,Furnished,Resale,Individual House,900,28.6644882,77.3474938,2,2,,,,3800000
Ready to Move,Semi-Furnished,Resale,Individual House,2400,28.44945717,77.10529327,3,3,4,,,19000000
,Semi-Furnished,Resale,Individual House,1155,28.646286,77.406051,2,2,4,,,5200000
Ready to Move,,New Property,Individual House,1550,28.562957,77.38698789,3,3,3,,,10000000
Ready to Move,,Resale,Flat,1303,28.447972,76.970278,3,2,3,1,2,7000000
Ready to Move,Unfurnished,Resale,Individual House,1106,28.60871506,77.44337463,2,2,3,1,2,3700000
Ready to Move,Semi-Furnished,Resale,Flat,600,28.621767,77.055846,2,2,1,1,0,2480000
Ready to Move,Semi-Furnished,Resale,Individual House,1350,28.6230185,77.0516675,3,3,2,1,,7060000
Ready to Move,,Resale,Flat,1425,28.432336,77.065818,3,2,2,1,0,10500000
Ready to Move,Semi-Furnished,Resale,Flat,900,28.6499845,77.4065455,2,2,,,,3500000
Ready to Move,,Resale,Flat,1180,28.453581,77.556221,2,2,1,,,4900000
Ready to Move,,Resale,Flat,2099,28.576256,77.383182,3,4,3,,,12000000
Ready to Move,Semi-Furnished,Resale,Flat,2000,28.54167938,77.20217896,3,3,2,,,25000000
Ready to Move,Furnished,Resale,Flat,700,28.52113342,77.25788116,2,2,2,,,2650000
Ready to Move,Furnished,Resale,Flat,540,28.61066281,77.22382699,10,10,5,3,,22500000
Ready to Move,,Resale,Individual House,1950,28.3854347,77.0485783,3,3,5,,,14000000
Ready to Move,Furnished,Resale,Individual House,1100,28.6859684,77.35089874,2,2,1,,,4000000
Ready to Move,,Resale,Flat,1110,28.513352,77.406026,2,2,,,,6000000
Ready to Move,Semi-Furnished,Resale,Flat,1200,28.7040534,77.4373305,2,2,,,,4000000
,Semi-Furnished,Resale,Flat,990,28.577868,77.48322,2,2,4,1,3,3700000
Ready to Move,Unfurnished,Resale,Flat,1800,28.68210793,77.44657898,3,3,,,,11000000
Ready to Move,Semi-Furnished,Resale,Flat,4000,28.45419121,77.08380127,5,5,3,2,1,27000000
Ready to Move,,Resale,Individual House,1300,28.60483,77.434908,3,2,,,,5350000
Ready to Move,Unfurnished,Resale,Individual House,995,28.605958,77.444512,2,2,,,,3500000
Ready to Move,Furnished,Resale,Flat,1290,28.6677244,77.0979515,3,2,,,,9900000
Ready to Move,,Resale,Flat,1788,28.455376,76.97621181,3,3,,1,,9000000
Ready to Move,,New Property,Flat,654,28.6212874,77.0530735,2,2,2,,,3400000
Ready to Move,,Resale,Flat,1077,28.532778,77.377052,2,2,,,,5000000
Ready to Move,Semi-Furnished,Resale,Flat,2000,28.45451736,77.08187103,3,3,2,,,16000000
Ready to Move,Furnished,Resale,Individual House,1800,28.64334869,77.12055969,4,4,,3,,22500000
Ready to Move,,Resale,Flat,2560,28.4101769,77.05028394,4,4,7,,,19800000
Ready to Move,Furnished,Resale,Individual House,850,28.68964577,77.49333191,3,2,1,,,2300000
Ready to Move,,Resale,Individual House,4200,28.5103,77.053103,4,4,2,2,,30000000
Ready to Move,,Resale,Flat,1350,28.645769,77.38511,3,3,,,,7810000
Ready to Move,,Resale,Individual House,4000,28.520732,77.356491,4,3,3,,,30000000
Ready to Move,Semi-Furnished,Resale,Individual House,1950,28.50803185,77.03360748,4,4,,,,16000000
Ready to Move,Semi-Furnished,Resale,Flat,1800,28.58435631,77.05776215,3,3,3,,,16000000
Ready to Move,,New Property,Flat,1437,28.41202244,77.34366202,3,2,1,,,6000000
Ready to Move,Semi-Furnished,Resale,Individual House,1000,28.6470245,77.3402594,2,2,,,,4500000
,Unfurnished,Resale,Flat,875,28.7040534,77.4373305,2,2,,,,3060000
Ready to Move,,Resale,Flat,1690,28.393665,76.962842,3,3,4,,,8500000
Ready to Move,Furnished,Resale,Flat,900,28.646432,77.2323695,3,2,,,,6500000
Ready to Move,Furnished,Resale,Individual House,2400,28.712018,77.097125,5,4,4,,,19000000
Ready to Move,,Resale,Flat,1625,28.60082949,77.36909444,3,3,,,,9500000
Ready to Move,,Resale,Flat,1600,28.43294945,77.517838,3,3,,,,7020000
Ready to Move,,Resale,Flat,1025,28.70627576,77.41879325,2,2,2,,,3350000
Ready to Move,,Resale,Flat,2658,28.458395,77.057162,3,4,3,,,27500000
Ready to Move,Furnished,Resale,Flat,3685,28.5301479,77.0164465,3,3,,,,30000000
Ready to Move,Unfurnished,Resale,Flat,1100,28.621054,77.0905294,2,2,2,9,5,9000000
Ready to Move,Semi-Furnished,Resale,Individual House,1350,28.4768564,77.333194,3,2,2,4,,4600000
Ready to Move,,Resale,Individual House,1145,28.51349498,77.03657993,2,2,2,,,7750000
Ready to Move,Unfurnished,Resale,Flat,3020,28.42205429,77.31439209,3,3,2,,,14500000
,Unfurnished,Resale,Individual House,1100,28.5827633,77.44122092,2,2,3,,,3500000
Ready to Move,,Resale,Flat,940,28.69359,77.344376,2,2,2,,,3300000
Ready to Move,Unfurnished,Resale,Individual House,1120,28.7005505,77.3286995,2,2,,,,3600000
Ready to Move,Semi-Furnished,New Property,Individual House,1890,28.64115715,77.37879944,3,3,3,,,9000000
,Semi-Furnished,Resale,Flat,4000,28.6636624,77.3310584,5,7,,,,30000000
Ready to Move,,Resale,Flat,3200,28.40173725,77.04685,4,5,4,2,2,26500000
Ready to Move,Unfurnished,Resale,Flat,1438,28.5073636,77.4091,3,2,,,,6500000
Ready to Move,Semi-Furnished,Resale,Individual House,5400,28.41656876,77.0634613,9,9,,,,46000000
Ready to Move,Furnished,Resale,Individual House,2700,28.68210793,77.44657898,3,3,,3,,25000000
Ready to Move,Semi-Furnished,Resale,Flat,3500,28.3954235,77.3233765,3,4,2,2,1,18500000
Ready to Move,,Resale,Individual House,3206,28.412412,77.069158,4,4,,,,28000000
Ready to Move,Semi-Furnished,Resale,Individual House,2175,28.394307,76.9700484,3,3,,,,11000000
Ready to Move,Semi-Furnished,Resale,Individual House,1000,28.6493479,77.3696259,2,2,,,,4500000
Ready to Move,,Resale,Flat,965,28.519997,77.376873,2,2,3,1,2,2900000
Ready to Move,Semi-Furnished,Resale,Individual House,2100,28.45702553,77.06468201,3,3,,,,17500000
Ready to Move,Semi-Furnished,New Property,Individual House,2100,28.45702553,77.06468201,3,3,2,,,17500000
Ready to Move,Unfurnished,Resale,Flat,7000,28.46008873,77.04492188,6,6,6,,,39000000
Ready to Move,Semi-Furnished,Resale,Individual House,1750,28.423049,77.08741,3,3,,,,12600000
Ready to Move,,Resale,Flat,1500,28.699045,77.1871425,3,2,2,,,15000000
Ready to Move,,Resale,Flat,2390,28.39285843,77.26834883,4,3,,,,16000000
Ready to Move,,New Property,Individual House,2158,28.38981649,76.969342,3,3,4,,,13000000
Ready to Move,,Resale,Individual House,1890,28.629808,77.440609,3,3,4,1,2,5780000
Ready to Move,,Resale,Individual House,668,28.68061028,77.35432329,2,2,,,,2840000
Ready to Move,,Resale,Individual House,1265,28.33785984,77.35192461,2,2,,,,4650000
Ready to Move,Semi-Furnished,Resale,Individual House,1500,28.4588712,77.1197711,3,3,4,1,,8700000
Ready to Move,Unfurnished,Resale,Flat,900,28.522253,77.019658,2,4,2,,,7000000
Ready to Move,,Resale,Individual House,1777,28.640515,77.376783,3,2,2,,2,7500000
Ready to Move,Semi-Furnished,Resale,Flat,1300,28.4958944,77.1859976,3,3,,,,8000000
,Unfurnished,Resale,Flat,753,28.5769715,77.0477254,2,2,1,,,4000000
Ready to Move,Furnished,Resale,Individual House,985,28.4661095,77.3000508,3,2,,,,5000000
Ready to Move,Semi-Furnished,Resale,Flat,540,28.6330645,77.0331715,2,2,,1,,2650000
,Semi-Furnished,Resale,Flat,1105,28.6390982,77.412377,2,2,4,,,4650000
Ready to Move,Unfurnished,Resale,Flat,1020,28.604884,77.425914,2,2,3,,,3600000
Ready to Move,,Resale,Flat,1045,28.50920801,77.40662554,2,2,4,1,,6000000
Ready to Move,Semi-Furnished,Resale,Individual House,900,28.6443119,77.331604,2,2,1,,,4500000
Ready to Move,Unfurnished,Resale,Flat,1800,28.53441811,77.2081604,3,3,1,1,,19000000
Ready to Move,Unfurnished,Resale,Flat,1100,28.68722534,77.31591797,2,2,1,2,,5000000
Ready to Move,Semi-Furnished,Resale,Flat,1150,28.6493479,77.3696259,2,2,,,,5000000
Ready to Move,,Resale,Individual House,1847,28.44926,76.98476024,4,4,,,,8000000
Ready to Move,Semi-Furnished,Resale,Flat,900,28.403512,77.289361,3,2,,,,4000000
Ready to Move,Furnished,Resale,Flat,900,28.6420559,77.323499,2,2,,,,5800000
Ready to Move,,Resale,Flat,1600,28.412109,77.049522,2,2,,,0,9000000
Ready to Move,,Resale,Flat,1380,28.646286,77.406051,3,2,5,1,2,6700000
Ready to Move,,Resale,Flat,2150,28.533371,77.37691885,3,4,4,,,18000000
Ready to Move,,Resale,Flat,1616,28.43058099,76.94862,2,2,3,,,9900000
Ready to Move,,Resale,Flat,1265,28.728555,77.337353,3,2,,,,3780000
Ready to Move,Semi-Furnished,Resale,Flat,2600,28.44762611,77.0632782,4,5,,,,17500000
Ready to Move,Furnished,Resale,Flat,1857,28.6470245,77.3402594,3,3,,,,12500000
Ready to Move,Unfurnished,Resale,Flat,800,28.6677244,77.0979515,2,2,,1,,8500000
Ready to Move,Semi-Furnished,Resale,Flat,1735,28.432094,77.506766,3,3,,,,7800000
Ready to Move,,Resale,Flat,1265,28.47962612,77.53229566,3,2,,,,6000000
Ready to Move,,New Property,Flat,3000,28.41772,77.05281,3,4,2,1,1,24800000
Ready to Move,Unfurnished,Resale,Individual House,1265,28.368101,77.3721674,3,2,3,1,,4000000
Ready to Move,Unfurnished,Resale,Flat,4700,28.39542389,77.32337952,6,6,,,,50000000
Ready to Move,Furnished,Resale,Flat,5000,28.56396675,77.36636353,4,7,4,4,,45000000
Ready to Move,Unfurnished,Resale,Flat,600,28.6210537,77.0905304,2,3,1,,,7000000
Ready to Move,Furnished,Resale,Flat,1750,28.6809994,77.356998,4,3,,,,10000000
Ready to Move,Semi-Furnished,Resale,Flat,1300,28.68176651,77.36365509,3,2,,1,,5400000
Ready to Move,,Resale,Flat,2150,28.42837861,77.04385409,4,4,4,2,2,16200000
Ready to Move,Unfurnished,Resale,Flat,1040,28.7005505,77.3286995,2,2,,,,3200000
Ready to Move,Semi-Furnished,Resale,Flat,2250,28.63478088,77.04907227,4,3,2,2,2,22500000
Ready to Move,Semi-Furnished,Resale,Flat,1376,28.4165691,77.0634595,3,3,2,,,11600000
Ready to Move,,Resale,Flat,965,28.429071,77.068974,2,2,2,,,8800000
Ready to Move,Semi-Furnished,Resale,Individual House,1400,28.64933586,77.13431549,3,2,2,,,13500000
,Furnished,Resale,Individual House,1065,28.70199,77.410904,2,2,3,,,3200000
Ready to Move,Semi-Furnished,Resale,Flat,1025,28.643113,77.338472,2,2,2,1,,5100000
Ready to Move,,Resale,Flat,1500,28.42451064,77.10132459,3,2,2,2,,9800000
Ready to Move,,Resale,Individual House,1505,28.616346,77.362221,3,3,,,,5500000
Ready to Move,Semi-Furnished,Resale,Flat,930,28.5783723,77.3873,2,2,3,1,,4600000
Ready to Move,,Resale,Flat,1270,28.414762,77.091933,2,2,2,,,11800000
Ready to Move,Semi-Furnished,Resale,Flat,750,28.6212883,77.05307007,2,2,1,,,3400000
Ready to Move,,Resale,Flat,1430,28.392329,76.957142,3,2,2,1,2,8000000
Ready to Move,,Resale,Flat,1425,28.70613851,77.42029971,3,2,1,,,4400000
Ready to Move,Unfurnished,Resale,Flat,1000,28.665971,77.1509546,3,2,,,,8000000
Ready to Move,Semi-Furnished,Resale,Flat,1547,28.5003124,76.9930555,2,2,,,,9000000
Ready to Move,,Resale,Flat,1564,28.57204228,77.39106873,3,2,5,,,8500000
Ready to Move,,Resale,Individual House,1010,28.70213303,77.42272486,2,2,3,,,3200000
,Semi-Furnished,Resale,Flat,1350,28.283682,77.047379,2,2,,,,6820000
Ready to Move,,Resale,Flat,1060,28.60483,77.434908,2,2,3,1,,4500000
Ready to Move,,Resale,Individual House,1370,28.3452278,77.5161987,2,2,1,,,6200000
Ready to Move,,Resale,Individual House,1296,28.66695955,77.48221766,3,2,,,,4470000
Ready to Move,Semi-Furnished,New Property,Flat,1400,28.40462875,77.2859726,4,2,2,,,6000000
,Semi-Furnished,Resale,Flat,835,28.609898,77.436343,2,2,,,,3400000
Ready to Move,,Resale,Flat,1005,28.474501,77.553187,2,2,2,,,3650000
Ready to Move,Semi-Furnished,Resale,Individual House,1050,28.4941085,77.0257,3,2,,,,3500000
Ready to Move,Unfurnished,Resale,Flat,1450,28.51595921,77.19876115,3,3,2,1,,9000000
Ready to Move,Furnished,Resale,Flat,1800,28.6272831,77.07688904,4,3,1,3,,25000000
Ready to Move,Unfurnished,Resale,Flat,1100,28.6360817,77.43379211,2,2,2,,1,3300000
Ready to Move,Semi-Furnished,Resale,Flat,758,28.63611603,77.43375397,2,3,1,,,3500000
Ready to Move,,Resale,Flat,2198,28.387228,77.058217,4,3,4,3,,14000000
Ready to Move,Furnished,Resale,Individual House,1600,28.6900486,77.3405361,4,3,,,,6500000
Ready to Move,Unfurnished,Resale,Flat,1260,28.652913,77.423591,5,3,,,,5500000
Ready to Move,,Resale,Flat,1365,28.71544937,77.33003807,3,2,3,,,3700000
Ready to Move,,Resale,Flat,1854,28.55934744,77.38985402,4,4,4,1,2,9500000
Ready to Move,,Resale,Flat,1550,28.64208009,77.38104759,2,2,1,,,7750000
Ready to Move,,Resale,Flat,1880,28.475552,77.515197,3,4,,,,7200000
